iter	Passed	Remaining
0	0	32
1	0	27
2	0	25
3	0	22
4	1	22
5	1	22
6	1	22
7	1	21
8	2	21
9	2	21
10	2	21
11	2	20
12	3	20
13	3	20
14	3	20
15	3	19
16	4	19
17	4	19
18	4	19
19	4	19
20	5	19
21	5	18
22	5	18
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	8	15
37	9	15
38	9	14
39	9	14
40	9	14
41	9	13
42	10	13
43	10	13
44	10	12
45	10	12
46	11	12
47	11	12
48	11	11
49	11	11
50	11	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	14	9
61	14	8
62	14	8
63	15	8
64	15	8
65	15	8
66	15	7
67	16	7
68	16	7
69	16	7
70	16	6
71	17	6
72	17	6
73	17	6
74	17	5
75	18	5
76	18	5
77	18	5
78	18	5
79	19	4
80	19	4
81	19	4
82	20	4
83	20	3
84	20	3
85	20	3
86	20	3
87	21	2
88	21	2
89	21	2
90	21	2
91	22	1
92	22	1
93	22	1
94	22	1
95	23	0
96	23	0
97	23	0
98	23	0
99	24	0
